"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0.2","3","0","0.2","0","0"
"1","1","1","0","0","-0.8","1.5","0","-0.8","0","0"
"1","1","2","0","0","-1.8","1","0","-1.8","0","0"
"1","1","3","0","0","-2.5","2","0","-2.5","0","0"
"1","1","4","0","0","-2.9","1","0","-2.9","0","0"
"1","1","5","0","0","-3.3","1","0","-3.3","0","0"
"1","1","6","0","0","-3.2","0","0","-3.2","0","0"
"1","1","7","0","15","-3","2","13.551","-4.92","3254.002","1869.883"
"1","1","8","154","81","-1","2","188.788","2.202","43059.688","41643.082"
"1","1","9","390","115","2","0","418.292","18.157","89913.219","88169.945"
"1","1","10","539","123","5","1","585.883","23.589","123549.32","121379.219"
"1","1","11","619","105","5.5","0","662.755","32.748","134015.078","131679.375"
"1","1","12","325","176","6","0","484.046","27.925","100236.391","98379.219"
"1","1","13","233","153","7","0","365.041","23.496","77026.398","75404.07"
"1","1","14","90","110","7","0","188.286","16.016","40979.762","39570.426"
"1","1","15","0","35","6.4","0","33.478","7.059","7642.199","6265.538"
"1","1","16","0","2","4","1","1.866","1.47","436.291","0"
"1","1","17","0","0","2","1","0","2","0","0"
"1","1","18","0","0","1","0","0","1","0","0"
"1","1","19","0","0","1","1","0","1","0","0"
"1","1","20","0","0","0","1","0","0","0","0"
"1","1","21","0","0","-0.4","3","0","-0.4","0","0"
"1","1","22","0","0","-1","0","0","-1","0","0"
"1","1","23","0","0","1","3","0","1","0","0"
"1","2","0","0","0","1","2","0","1","0","0"
"1","2","1","0","0","1","2","0","1","0","0"
"1","2","2","0","0","1","3","0","1","0","0"
"1","2","3","0","0","-1","2","0","-1","0","0"
"1","2","4","0","0","-1","1","0","-1","0","0"
"1","2","5","0","0","-1","1","0","-1","0","0"
"1","2","6","0","0","-1.2","0","0","-1.2","0","0"
"1","2","7","0","11","-1","0","9.922","-5.147","2384.681","998.759"
"1","2","8","127","65","1","0","151.981","4.261","34340.879","32950.641"
"1","2","9","241","128","4","0","324.737","16.244","70566.805","68996.219"
"1","2","10","235","176","8","0","391.842","24.1","82575.93","80904.406"
"1","2","11","124","226","9","0","364.401","24.639","76756.602","75136.555"
"1","2","12","79","208","8.6","0","302.425","21.811","64556.586","63028.82"
"1","2","13","282","151","10","0","398.396","26.093","83007.648","81332.117"
"1","2","14","249","106","9","0","288.029","21.962","60615.738","59113.266"
"1","2","15","49","47","7.4","0","81.778","11.392","17915.678","16545.779"
"1","2","16","0","2","5","0","1.866","1.857","435.576","0"
"1","2","17","0","0","4","0","0","4","0","0"
"1","2","18","0","0","3","0","0","3","0","0"
"1","2","19","0","0","2","2","0","2","0","0"
"1","2","20","0","0","2","1","0","2","0","0"
"1","2","21","0","0","1.8","0","0","1.8","0","0"
"1","2","22","0","0","2","0","0","2","0","0"
"1","2","23","0","0","0","0","0","0","0","0"
"1","3","0","0","0","-0.8","2","0","-0.8","0","0"
"1","3","1","0","0","0","2","0","0","0","0"
"1","3","2","0","0","-1","0","0","-1","0","0"
"1","3","3","0","0","-0.2","2","0","-0.2","0","0"
"1","3","4","0","0","-1","2","0","-1","0","0"
"1","3","5","0","0","1","0","0","1","0","0"
"1","3","6","0","0","-1.4","1","0","-1.4","0","0"
"1","3","7","0","15","0.3","1","13.551","-2.085","3215.995","1831.798"
"1","3","8","196","62","2","1","182.539","5.582","40745.266","39336.711"
"1","3","9","72","135","4.2","2","200.22","8.355","45259.211","43834.246"
"1","3","10","384","157","5","0","494.706","23.895","104255.672","102350.055"
"1","3","11","594","118","7","1","658.035","28.013","136154.625","133783.156"
"1","3","12","634","99","9","2","659.993","27.1","137064.719","134677.844"
"1","3","13","543","98","10","0","542.378","33.52","108816","106852.641"
"1","3","14","321","96","10","2","328.961","18.934","70081.211","68514.273"
"1","3","15","56","46","8","2","82.789","9.412","18246.482","16876.553"
"1","3","16","0","2","5","0","1.866","1.837","435.612","0"
"1","3","17","0","0","3","0","0","3","0","0"
"1","3","18","0","0","2.6","0","0","2.6","0","0"
"1","3","19","0","0","2","0","0","2","0","0"
"1","3","20","0","0","1.9","0","0","1.9","0","0"
"1","3","21","0","0","1.8","0","0","1.8","0","0"
"1","3","22","0","0","1","0","0","1","0","0"
"1","3","23","0","0","1","0","0","1","0","0"
"1","4","0","0","0","0","0","0","0","0","0"
"1","4","1","0","0","0","0","0","0","0","0"
"1","4","2","0","0","0","0","0","0","0","0"
"1","4","3","0","0","-0.6","0","0","-0.6","0","0"
"1","4","4","0","0","-1","0","0","-1","0","0"
"1","4","5","0","0","0","0","0","0","0","0"
"1","4","6","0","0","0","0","0","0","0","0"
"1","4","7","0","12","0","0","10.828","-4.086","2591.136","1205.652"
"1","4","8","133","81","2","2","169.588","4.645","38304.422","36903.539"
"1","4","9","451","96","5","1","435.177","17.689","93623.563","91841.094"
"1","4","10","391","163","8","2","507.902","21.397","108291.555","106334.984"
"1","4","11","144","190","9","1","343.92","20.428","73855.844","72259.648"
"1","4","12","127","190","8","2","329.213","16.276","72043.609","70461.711"
"1","4","13","47","151","8","2","201.443","12.718","44782.074","43358.98"
"1","4","14","0","82","8","2","79.656","8.851","18042.293","16672.385"
"1","4","15","0","17","7","0","15.335","4.473","3539.821","2156.271"
"1","4","16","0","1","6","0","0.933","1.798","217.842","0"
"1","4","17","0","0","6","0","0","6","0","0"
"1","4","18","0","0","5.6","0","0","5.6","0","0"
"1","4","19","0","0","6","0","0","6","0","0"
"1","4","20","0","0","6","0","0","6","0","0"
"1","4","21","0","0","5.4","0","0","5.4","0","0"
"1","4","22","0","0","5","0","0","5","0","0"
"1","4","23","0","0","5","0","0","5","0","0"
"1","5","0","0","0","5","0","0","5","0","0"
"1","5","1","0","0","5","0","0","5","0","0"
"1","5","2","0","0","5","0","0","5","0","0"
"1","5","3","0","0","5","0","0","5","0","0"
"1","5","4","0","0","5","0","0","5","0","0"
"1","5","5","0","0","5","1","0","5","0","0"
"1","5","6","0","0","4.8","2","0","4.8","0","0"
"1","5","7","0","10","4","0","9.016","-0.111","2122.074","735.586"
"1","5","8","45","64","7","0","92.082","6.863","20764.758","19394.08"
"1","5","9","69","135","7.4","0","197.815","13.877","43644.633","42225.871"
"1","5","10","99","181","9","0","280.518","19.872","60366.34","58865.395"
"1","5","11","90","211","9","0","314.278","21.9","67063.531","65518.531"
"1","5","12","88","205","11","1","304.56","20.176","65500.18","63966.035"
"1","5","13","44","152","11","2","200.32","15.598","43967.789","42547.816"
"1","5","14","0","82","10","2","79.479","10.863","17844.211","16474.316"
"1","5","15","0","17","10","0.5","15.334","8.074","3485.056","2101.397"
"1","5","16","0","2","8","1","1.866","5.452","428.939","0"
"1","5","17","0","0","7","0","0","7","0","0"
"1","5","18","0","0","6.6","0","0","6.6","0","0"
"1","5","19","0","0","6","0","0","6","0","0"
"1","5","20","0","0","5","2","0","5","0","0"
"1","5","21","0","0","4.4","0","0","4.4","0","0"
"1","5","22","0","0","4","2","0","4","0","0"
"1","5","23","0","0","3","0","0","3","0","0"
"1","6","0","0","0","2","0","0","2","0","0"
"1","6","1","0","0","2","1","0","2","0","0"
"1","6","2","0","0","2","0","0","2","0","0"
"1","6","3","0","0","1","2","0","1","0","0"
"1","6","4","0","0","2","1","0","2","0","0"
"1","6","5","0","0","3","2","0","3","0","0"
"1","6","6","0","0","3","0","0","3","0","0"
"1","6","7","0","12","3","0","10.828","-0.98","2557.814","1172.259"
"1","6","8","137","73","6","0","159.148","9.674","35094.328","33702.238"
"1","6","9","383","105","9","0","400.853","24.028","83834.219","82150.938"
"1","6","10","498","119","12","0","549.759","33.907","110363.109","108379.484"
"1","6","11","469","156","12","2","596.854","28.008","123557.234","121387.008"
"1","6","12","459","154","14","0","580.529","38.075","114370.328","112332.648"
"1","6","13","426","132","14","0","494.734","35.211","98560.906","96723.25"
"1","6","14","359","87","13","0","342.849","28.533","69793.109","68228.32"
"1","6","15","77","50","12.2","2","97.049","14.092","20874.766","19504.033"
"1","6","16","0","3","10.6","1","2.799","8.623","634.623","0"
"1","6","17","0","0","9","0","0","9","0","0"
"1","6","18","0","0","7","2","0","7","0","0"
"1","6","19","0","0","7","1","0","7","0","0"
"1","6","20","0","0","5","0","0","5","0","0"
"1","6","21","0","0","5","2","0","5","0","0"
"1","6","22","0","0","4.5","3.1","0","4.5","0","0"
"1","6","23","0","0","4","4.1","0","4","0","0"
"1","7","0","0","0","4","3","0","4","0","0"
"1","7","1","0","0","4","3","0","4","0","0"
"1","7","2","0","0","4","2","0","4","0","0"
"1","7","3","0","0","3","1","0","3","0","0"
"1","7","4","0","0","2","1","0","2","0","0"
"1","7","5","0","0","2","3","0","2","0","0"
"1","7","6","0","0","4","2.5","0","4","0","0"
"1","7","7","0","15","3","3","13.551","1.412","3168.986","1784.694"
"1","7","8","168","78","6","2","190.098","9.247","41969.434","40556.715"
"1","7","9","448","97","9","2","434.087","19.568","92596.344","90824.922"
"1","7","10","584","104","11","1","604.258","29.942","123626.563","121455.297"
"1","7","11","645","101","14","0","682.44","41.351","132223","129916.758"
"1","7","12","635","101","13","3","666.694","29.018","137227.828","134838.172"
"1","7","13","550","100","13","2","553.808","28.235","114035.258","112002.18"
"1","7","14","375","87","13","1","353.288","24.842","73184.836","71593.992"
"1","7","15","65","45","11","1","83.89","13.228","18130.471","16760.555"
"1","7","16","0","3","9","1","2.799","6.91","639.37","0"
"1","7","17","0","0","6","2","0","6","0","0"
"1","7","18","0","0","6","1.5","0","6","0","0"
"1","7","19","0","0","6","0","0","6","0","0"
"1","7","20","0","0","5.5","0","0","5.5","0","0"
"1","7","21","0","0","5","0","0","5","0","0"
"1","7","22","0","0","4","0","0","4","0","0"
"1","7","23","0","0","4","0","0","4","0","0"
"1","8","0","0","0","2","0","0","2","0","0"
"1","8","1","0","0","2","0","0","2","0","0"
"1","8","2","0","0","2","0","0","2","0","0"
"1","8","3","0","0","2.4","2","0","2.4","0","0"
"1","8","4","0","0","3","0","0","3","0","0"
"1","8","5","0","0","3","0","0","3","0","0"
"1","8","6","0","0","2.8","0","0","2.8","0","0"
"1","8","7","0","10","2","0","9.016","-2.046","2139.28","752.83"
"1","8","8","49","65","4","0","95.054","4.02","21681.559","20310.385"
"1","8","9","71","137","5","0","201.206","11.66","44830.434","43407.152"
"1","8","10","101","184","7","0","285.425","18.134","61913.59","60403.031"
"1","8","11","91","215","9","0","319.741","22.135","68157.773","66604.969"
"1","8","12","89","209","10.4","0","309.976","23.433","65670.586","64135.27"
"1","8","13","77","174","11","1","254.02","18.545","54987.234","53517.059"
"1","8","14","81","107","12","2","177.171","15.785","38637.047","37235.164"
"1","8","15","0","43","9.6","1","41.946","9.402","9478.126","8103.773"
"1","8","16","0","3","7","2","2.799","5.06","644.493","0"
"1","8","17","0","0","6","1","0","6","0","0"
"1","8","18","0","0","5","2","0","5","0","0"
"1","8","19","0","0","6","2.5","0","6","0","0"
"1","8","20","0","0","5","1","0","5","0","0"
"1","8","21","0","0","6","1","0","6","0","0"
"1","8","22","0","0","5","0","0","5","0","0"
"1","8","23","0","0","5","1","0","5","0","0"
"1","9","0","0","0","5","2","0","5","0","0"
"1","9","1","0","0","5","0","0","5","0","0"
"1","9","2","0","0","9","6.1","0","9","0","0"
"1","9","3","0","0","9.8","7","0","9.8","0","0"
"1","9","4","0","0","10","6.1","0","10","0","0"
"1","9","5","0","0","10","6.1","0","10","0","0"
"1","9","6","0","0","9","6.1","0","9","0","0"
"1","9","7","0","12","10","7.2","10.827","9.055","2450.21","1064.427"
"1","9","8","131","67","10","7.2","155.403","11.352","34029.492","32639.998"
"1","9","9","245","131","11","8.2","330.072","14.932","72150.68","70567.953"
"1","9","10","488","141","11","8.2","569.397","18.576","122942.719","120781.734"
"1","9","11","658","102","12","7.2","695.783","22.495","147760.859","145184.016"
"1","9","12","659","97","13","6.1","683.346","24.617","143630.734","141129.172"
"1","9","13","565","100","13","7.2","567.155","21.591","120508.711","118383.797"
"1","9","14","361","99","12","6.1","360.725","17.818","77295.273","75670.656"
"1","9","15","75","57","11","5.1","105.892","12.26","23049.91","21677.773"
"1","9","16","0","4","9","5.1","3.732","7.833","849.084","0"
"1","9","17","0","0","9","6.1","0","9","0","0"
"1","9","18","0","0","8","6.1","0","8","0","0"
"1","9","19","0","0","8","7.2","0","8","0","0"
"1","9","20","0","0","8","8.2","0","8","0","0"
"1","9","21","0","0","8","7.2","0","8","0","0"
"1","9","22","0","0","7","4.1","0","7","0","0"
"1","9","23","0","0","7","6.1","0","7","0","0"
"1","10","0","0","0","7","6.1","0","7","0","0"
"1","10","1","0","0","4","2","0","4","0","0"
"1","10","2","0","0","3","2","0","3","0","0"
"1","10","3","0","0","2","0","0","2","0","0"
"1","10","4","0","0","1","0","0","1","0","0"
"1","10","5","0","0","1","1","0","1","0","0"
"1","10","6","0","0","0","0","0","0","0","0"
"1","10","7","0","15","0","0","13.55","-3.83","3239.067","1854.917"
"1","10","8","154","84","3.5","0","182.983","8.303","40609.195","39201.09"
"1","10","9","391","119","7","0","422.641","23.085","88817.258","87085.188"
"1","10","10","536","128","9","1","591.185","27.589","122370.75","120218.32"
"1","10","11","668","98","10","1.5","699.926","30.446","143152.641","140659.641"
"1","10","12","656","98","10.2","0","683.182","38.442","134292.125","131951.828"
"1","10","13","570","99","11","2","570.91","26.795","118397.594","116303.289"
"1","10","14","360","100","12","0","362.001","28.779","73724.875","72129.734"
"1","10","15","101","55","10","2","113.897","12.414","24625.691","23252.115"
"1","10","16","0","4","6","1.5","3.732","4.22","862.424","0"
"1","10","17","0","0","3","0","0","3","0","0"
"1","10","18","0","0","2","2","0","2","0","0"
"1","10","19","0","0","1","1","0","1","0","0"
"1","10","20","0","0","1","2","0","1","0","0"
"1","10","21","0","0","0.4","2","0","0.4","0","0"
"1","10","22","0","0","1","2","0","1","0","0"
"1","10","23","0","0","1","2","0","1","0","0"
"1","11","0","0","0","-0.3","0","0","-0.3","0","0"
"1","11","1","0","0","-2","2","0","-2","0","0"
"1","11","2","0","0","2","0","0","2","0","0"
"1","11","3","0","0","-1.6","0","0","-1.6","0","0"
"1","11","4","0","0","2","2","0","2","0","0"
"1","11","5","0","0","-2","2","0","-2","0","0"
"1","11","6","0","0","-2","0","0","-2","0","0"
"1","11","7","0","16","-1","2","14.458","-2.864","3442.436","2058.692"
"1","11","8","156","84","2","0","183.638","6.871","40999.625","39590.223"
"1","11","9","392","120","7","0","424.482","23.151","89180.625","87444.859"
"1","11","10","539","128","9","1.5","593.844","25.921","123900.375","121724.969"
"1","11","11","674","97","11","2.5","704.474","28.734","145277.672","142746.391"
"1","11","12","657","98","11","1","685.088","33.521","138000.641","135597.797"
"1","11","13","570","101","13","1","574.354","32.099","116133.852","114071.656"
"1","11","14","365","101","13","0","367.001","29.941","74342.273","72742.164"
"1","11","15","81","60","11","0","112.285","17.036","23923.484","22550.594"
"1","11","16","0","5","8.6","0","4.665","6.2","1068.89","0"
"1","11","17","0","0","6.2","0","0","6.2","0","0"
"1","11","18","0","0","3.8","0","0","3.8","0","0"
"1","11","19","0","0","3","0","0","3","0","0"
"1","11","20","0","0","3","0","0","3","0","0"
"1","11","21","0","0","7.4","3","0","7.4","0","0"
"1","11","22","0","0","7.7","3","0","7.7","0","0"
"1","11","23","0","0","8","3","0","8","0","0"
"1","12","0","0","0","4","0","0","4","0","0"
"1","12","1","0","0","2","0","0","2","0","0"
"1","12","2","0","0","2","0","0","2","0","0"
"1","12","3","0","0","2","0","0","2","0","0"
"1","12","4","0","0","0","0","0","0","0","0"
"1","12","5","0","0","0","0","0","0","0","0"
"1","12","6","0","0","0","1","0","0","0","0"
"1","12","7","0","16","2","1.5","14.458","-0.018","3401.616","2017.791"
"1","12","8","156","85","4","2","184.775","7.094","41219.383","39809.238"
"1","12","9","394","120","8","0","425.844","24.171","89042.391","87308.031"
"1","12","10","603","103","10","1","619.925","29.418","127169.836","124944.203"
"1","12","11","672","100","12","2","707.39","31.087","144246.281","141733.656"
"1","12","12","673","95","14","3","695.619","30.724","142045.078","139571.781"
"1","12","13","580","101","15","2","583.064","31.027","118520.773","116424.695"
"1","12","14","374","101","13.7","2","373.326","23.905","77826.492","76197.344"
"1","12","15","85","62","12.5","2","116.687","15.045","25085.406","23711.344"
"1","12","16","0","5","9","1","4.665","7.165","1064.438","0"
"1","12","17","0","0","6","0","0","6","0","0"
"1","12","18","0","0","4","1","0","4","0","0"
"1","12","19","0","0","4","1","0","4","0","0"
"1","12","20","0","0","3","1","0","3","0","0"
"1","12","21","0","0","2","0","0","2","0","0"
"1","12","22","0","0","1","1","0","1","0","0"
"1","12","23","0","0","1","2","0","1","0","0"
"1","13","0","0","0","2.6","3","0","2.6","0","0"
"1","13","1","0","0","2","2.5","0","2","0","0"
"1","13","2","0","0","2","1","0","2","0","0"
"1","13","3","0","0","1","2","0","1","0","0"
"1","13","4","0","0","0","2.5","0","0","0","0"
"1","13","5","0","0","0","0","0","0","0","0"
"1","13","6","0","0","0","0","0","0","0","0"
"1","13","7","0","16","1.5","0","14.457","-2.267","3433.664","2049.903"
"1","13","8","179","81","3","1","198.158","7.118","44129.098","42708.512"
"1","13","9","469","98","7","0","449.363","24.166","93836.727","92051.953"
"1","13","10","604","103","10","1","621.247","29.564","127357.508","125128.945"
"1","13","11","661","101","11","0","700.379","39.241","137191.328","134802.297"
"1","13","12","660","99","13.1","2","691.056","31.981","140271.484","137829.359"
"1","13","13","574","102","13","2","580.929","29.017","119252.492","117145.867"
"1","13","14","424","88","13","2","389.425","23.636","81196.195","79537.32"
"1","13","15","115","59","12","1","125.201","15.787","26658.186","25282.232"
"1","13","16","0","6","8","0","5.598","5.822","1284.763","0"
"1","13","17","0","0","6","0","0","6","0","0"
"1","13","18","0","0","4","2","0","4","0","0"
"1","13","19","0","0","3.7","2","0","3.7","0","0"
"1","13","20","0","0","3.3","2","0","3.3","0","0"
"1","13","21","0","0","3","2","0","3","0","0"
"1","13","22","0","0","3","2","0","3","0","0"
"1","13","23","0","0","2","2","0","2","0","0"
"1","14","0","0","0","1","2","0","1","0","0"
"1","14","1","0","0","1","2","0","1","0","0"
"1","14","2","0","0","1","2","0","1","0","0"
"1","14","3","0","0","0","2","0","0","0","0"
"1","14","4","0","0","1","2","0","1","0","0"
"1","14","5","0","0","0","2.5","0","0","0","0"
"1","14","6","0","0","1","3","0","1","0","0"
"1","14","7","0","13","2","2","11.733","0.1","2759.065","1373.932"
"1","14","8","65","75","3","0","123.6","4.918","28075.865","26697.906"
"1","14","9","76","142","4.4","0","209.543","11.746","46668.008","45237.328"
"1","14","10","62","173","5","0","238.392","14.442","52609.953","51152.07"
"1","14","11","15","170","6","0","181.774","13.472","40331.566","38924.371"
"1","14","12","0","116","6","0","109.52","9.826","24701.158","23327.504"
"1","14","13","0","96","7","0","89.77","8.917","20327.311","18956.826"
"1","14","14","0","63","7","0","57.537","7.024","13136.376","11765.197"
"1","14","15","0","24","6","0","21.67","3.407","5025.167","3644.386"
"1","14","16","0","2","5","0","1.797","0.882","421.285","0"
"1","14","17","0","0","5","2","0","5","0","0"
"1","14","18","0","0","5","1","0","5","0","0"
"1","14","19","0","0","5","0","0","5","0","0"
"1","14","20","0","0","5","0","0","5","0","0"
"1","14","21","0","0","4.5","0","0","4.5","0","0"
"1","14","22","0","0","5","0","0","5","0","0"
"1","14","23","0","0","4","2","0","4","0","0"
"1","15","0","0","0","5","2","0","5","0","0"
"1","15","1","0","0","5","2","0","5","0","0"
"1","15","2","0","0","7","2","0","7","0","0"
"1","15","3","0","0","6","2","0","6","0","0"
"1","15","4","0","0","7","2","0","7","0","0"
"1","15","5","0","0","7","4.1","0","7","0","0"
"1","15","6","0","0","7","2","0","7","0","0"
"1","15","7","0","8","7","2.5","7.206","5.183","1658.363","270.853"
"1","15","8","0","67","6","0","66.391","4.787","15304.874","13934.678"
"1","15","9","87","138","7","0","211.004","13.738","46553.668","45123.461"
"1","15","10","102","191","9","0","293.45","20.484","62981.895","61464.5"
"1","15","11","92","224","10","2","330.227","18.108","71715.453","70136.102"
"1","15","12","95","221","9","2","328.681","17.203","71666.406","70087.438"
"1","15","13","182","173","9","2.5","341.984","16.951","74480.844","72879.609"
"1","15","14","142","133","9","3","249.369","14.252","54703.59","53234.926"
"1","15","15","43","64","9","0","92.184","12.857","20201.969","18831.535"
"1","15","16","0","6","8","1","5.403","6.025","1238.815","0"
"1","15","17","0","0","7","1","0","7","0","0"
"1","15","18","0","0","6","1","0","6","0","0"
"1","15","19","0","0","4","3","0","4","0","0"
"1","15","20","0","0","4","1.5","0","4","0","0"
"1","15","21","0","0","3.6","1","0","3.6","0","0"
"1","15","22","0","0","3","0","0","3","0","0"
"1","15","23","0","0","3","0","0","3","0","0"
"1","16","0","0","0","3","0","0","3","0","0"
"1","16","1","0","0","3","1","0","3","0","0"
"1","16","2","0","0","3","2","0","3","0","0"
"1","16","3","0","0","1","3","0","1","0","0"
"1","16","4","0","0","2","4.1","0","2","0","0"
"1","16","5","0","0","1","3","0","1","0","0"
"1","16","6","0","0","1","2","0","1","0","0"
"1","16","7","0","17","1","2","15.365","-0.808","3627.012","2243.632"
"1","16","8","216","66","2","0","195.3","7.444","43192.637","41775.543"
"1","16","9","91","140","4","1","216.056","9.747","48513.738","47075.145"
"1","16","10","107","193","5","1","299.695","13.595","66359.836","64819.766"
"1","16","11","96","227","6","1","337.241","16.227","73865.422","72269.148"
"1","16","12","95","223","7","2","330.972","15.311","72786.375","71198.68"
"1","16","13","339","167","8","0","466.307","26.766","96937.32","95118.188"
"1","16","14","350","111","8","2","373.003","17.89","80082.711","78433.836"
"1","16","15","130","64","8","1","146.09","12.391","31639.949","30255.689"
"1","16","16","0","7","6","2","6.306","4.539","1455.177","67.209"
"1","16","17","0","0","4","3","0","4","0","0"
"1","16","18","0","0","3","0","0","3","0","0"
"1","16","19","0","0","2","2","0","2","0","0"
"1","16","20","0","0","2","2","0","2","0","0"
"1","16","21","0","0","1","2","0","1","0","0"
"1","16","22","0","0","3","3.1","0","3","0","0"
"1","16","23","0","0","5","4.1","0","5","0","0"
"1","17","0","0","0","3","3","0","3","0","0"
"1","17","1","0","0","2","2.5","0","2","0","0"
"1","17","2","0","0","1","1.5","0","1","0","0"
"1","17","3","0","0","0.6","1","0","0.6","0","0"
"1","17","4","0","0","0","3","0","0","0","0"
"1","17","5","0","0","0","2.5","0","0","0","0"
"1","17","6","0","0","0.2","1","0","0.2","0","0"
"1","17","7","0","18","0","0","16.274","-3.721","3888.498","2505.626"
"1","17","8","165","89","3","2","200.979","6.556","44971.68","43547.848"
"1","17","9","479","99","6","0","457.926","23.537","95924.852","94117.086"
"1","17","10","620","102","9","1","635.157","29.064","130545.977","128266.891"
"1","17","11","687","98","11","2","722.346","30.558","147708.406","145132.547"
"1","17","12","672","100","11","4.1","707.162","26.346","147510.781","144938.563"
"1","17","13","593","102","11","3","600.498","25.583","125353.188","123155.648"
"1","17","14","443","90","11","2","407.375","22.213","85579.422","83879.453"
"1","17","15","130","66","10","2","148.708","13.54","32068.373","30683.234"
"1","17","16","0","8","8","2","7.209","6.604","1649.009","261.478"
"1","17","17","0","0","8","3","0","8","0","0"
"1","17","18","0","0","6","1","0","6","0","0"
"1","17","19","0","0","6","1","0","6","0","0"
"1","17","20","0","0","6","0","0","6","0","0"
"1","17","21","0","0","6","0","0","6","0","0"
"1","17","22","0","0","5","2","0","5","0","0"
"1","17","23","0","0","4.5","2","0","4.5","0","0"
"1","18","0","0","0","4","2","0","4","0","0"
"1","18","1","0","0","4","2","0","4","0","0"
"1","18","2","0","0","3","2","0","3","0","0"
"1","18","3","0","0","2","1","0","2","0","0"
"1","18","4","0","0","1","2","0","1","0","0"
"1","18","5","0","0","2","3","0","2","0","0"
"1","18","6","0","0","1","2","0","1","0","0"
"1","18","7","0","18","2","2","16.273","0.237","3824.553","2441.558"
"1","18","8","186","85","5","3","205.705","8.281","45584.16","44157.902"
"1","18","9","478","100","7.4","1","458.73","20.948","97265.43","95442.586"
"1","18","10","620","103","9.2","1.5","637.078","27.449","131963.016","129661.016"
"1","18","11","680","100","11","2","720.064","30.506","147289.609","144721.484"
"1","18","12","672","101","12","1","709.712","35.241","141824.719","139355.313"
"1","18","13","587","105","13","2","600.694","29.589","123047.609","120885.055"
"1","18","14","445","92","13","2","412.039","24.301","85748.422","84046.813"
"1","18","15","183","60","12","1","164.625","17.19","34661.973","33270.957"
"1","18","16","0","8","8","0","7.209","6.623","1648.765","261.233"
"1","18","17","0","0","6","0","0","6","0","0"
"1","18","18","0","0","5","3","0","5","0","0"
"1","18","19","0","0","5","2","0","5","0","0"
"1","18","20","0","0","5","2","0","5","0","0"
"1","18","21","0","0","2.6","0","0","2.6","0","0"
"1","18","22","0","0","2.8","1.2","0","2.8","0","0"
"1","18","23","0","0","3","2.5","0","3","0","0"
"1","19","0","0","0","4.6","2","0","4.6","0","0"
"1","19","1","0","0","5","0","0","5","0","0"
"1","19","2","0","0","5","2","0","5","0","0"
"1","19","3","0","0","5.2","2","0","5.2","0","0"
"1","19","4","0","0","5","0","0","5","0","0"
"1","19","5","0","0","5","2","0","5","0","0"
"1","19","6","0","0","6","0","0","6","0","0"
"1","19","7","0","5","6","1","4.499","3.446","1042.997","0"
"1","19","8","0","37","6","0","33.457","3.143","7767.211","6390.723"
"1","19","9","0","77","8","0","71.161","7.417","16219.251","14849.27"
"1","19","10","0","107","9","1","100.482","10.173","22628.059","21256.244"
"1","19","11","0","122","9","1.5","115.219","10.632","25894.445","24519.453"
"1","19","12","0","120","10","1","113.232","11.868","25309.477","23935.168"
"1","19","13","0","101","10","1","94.533","11.228","21189.889","19818.996"
"1","19","14","0","68","10","2","62.327","9.991","14046.915","12676.229"
"1","19","15","0","28","10","0","25.294","7.782","5755.926","4376.395"
"1","19","16","0","3","9","2","2.697","7.031","615.794","0"
"1","19","17","0","0","9","2","0","9","0","0"
"1","19","18","0","0","7.2","8","0","7.2","0","0"
"1","19","19","0","0","4","12.3","0","4","0","0"
"1","19","20","0","0","4","11.3","0","4","0","0"
"1","19","21","0","0","2","10.2","0","2","0","0"
"1","19","22","0","0","2","10.2","0","2","0","0"
"1","19","23","0","0","2","6.1","0","2","0","0"
"1","20","0","0","0","3","8.2","0","3","0","0"
"1","20","1","0","0","3","6.1","0","3","0","0"
"1","20","2","0","0","2","5.1","0","2","0","0"
"1","20","3","0","0","2","7.2","0","2","0","0"
"1","20","4","0","0","2","7.2","0","2","0","0"
"1","20","5","0","0","1","7.2","0","1","0","0"
"1","20","6","0","0","0","7.2","0","0","0","0"
"1","20","7","0","6","1","7.2","5.4","-0.08","1270.88","0"
"1","20","8","0","38","1","7.2","34.366","0.38","8071.994","6695.917"
"1","20","9","0","78","1","7.2","72.135","1.006","16898.832","15528.933"
"1","20","10","0","109","1","7.2","102.495","1.525","23958.398","22585.475"
"1","20","11","0","125","3","7.2","118.282","3.814","27380.828","26003.889"
"1","20","12","0","123","3.6","6","116.288","4.507","26839.617","25463.424"
"1","20","13","0","104","4","7.2","97.578","4.506","22521.291","21149.557"
"1","20","14","0","70","4","8.2","64.312","3.962","14878.119","13507.783"
"1","20","15","0","29","4","8.2","26.2","3.379","6076.339","4697.331"
"1","20","16","0","3","3","14.4","2.697","2.325","628.35","0"
"1","20","17","0","0","2","14.4","0","2","0","0"
"1","20","18","0","0","2","12.3","0","2","0","0"
"1","20","19","0","0","2","10.2","0","2","0","0"
"1","20","20","0","0","2","10.2","0","2","0","0"
"1","20","21","0","0","2","10","0","2","0","0"
"1","20","22","0","0","2","10.2","0","2","0","0"
